// Start Time: Unknown
// Update Rate: Various
// Filter Profile: Error: No XDA filter profile
// Option Flags: AHS Disabled ICC Disabled 
// Firmware Version: 1.3.7
PacketCounter;SampleTimeFine;Acc_X;Acc_Y;Acc_Z;VelInc_X;VelInc_Y;VelInc_Z;OriInc_q0;OriInc_q1;OriInc_q2;OriInc_q3;Roll;Pitch;Yaw;Latitude;Longitude;Altitude;Vel_X;Vel_Y;Vel_Z
00070;1218884;-0.059697;0.015129;9.754383;;;;;;;;;;;;;0.000000;;;
00071;1218909;-0.069273;0.026047;9.750807;;;;;;;;;;;;;0.000000;;;
00072;1218934;-0.076600;0.028733;9.790577;;;;;;;;;;;;;0.000000;;;
00073;1218959;-0.053213;0.026764;9.762809;;;;;;;;;;;;;0.000000;;;
00074;1218984;-0.065343;0.024883;9.742194;;;;;;;;;;;;;0.000000;;;
00075;1219009;-0.024566;0.003165;9.731110;;;;;;;;;;;;;0.000000;;;
00076;1219034;-0.041078;0.029866;9.774746;;;;;;;;;;;;;0.000000;;;
00077;1219059;-0.060507;0.034890;9.790969;;;;;;;;;;;;;0.000000;;;
00078;1219084;-0.065541;0.048186;9.758561;;;;;;;;;;;;;0.000000;;;
00079;1219109;-0.020226;0.052210;9.757582;;;;;;;;;;;;;0.000000;;;
00080;1219134;-0.026608;0.044625;9.771626;;;;;;;;;;;;;0.000000;;;
00081;1219159;-0.033476;0.062698;9.794789;;;;;;;;;;;;;0.000000;;;
00082;1219184;0.004352;0.023657;9.785490;;;;;;;;;;;;;0.000000;;;
00083;1219209;-0.045921;0.078117;9.763791;;;;;;;;;;;;;0.000000;;;
00084;1219234;-0.027807;0.043913;9.764910;;;;;;;;;;;;;0.000000;;;
00085;1219259;-0.011616;0.035134;9.786694;;;;;;;;;;;;;0.000000;;;
00086;1219284;-0.039501;0.038740;9.771717;;;;;;;;;;;;;0.000000;;;
00087;1219309;-0.056107;0.048096;9.756641;;;;;;;;;;;;;0.000000;;;
00088;1219334;-0.035811;0.047427;9.805155;;;;;;;;;;;;;0.000000;;;
00089;1219359;-0.032864;0.040078;9.794254;;;;;;;;;;;;;0.000000;;;
00090;1219384;-0.039600;0.072108;9.775901;;;;;;;;;;;;;0.000000;;;
00091;1219409;-0.034586;0.005698;9.767534;;;;;;;;;;;;;0.000000;;;
00092;1219434;-0.024348;0.026536;9.741724;;;;;;;;;;;;;0.000000;;;
00093;1219459;-0.061653;0.033561;9.785712;;;;;;;;;;;;;0.000000;;;
00094;1219484;-0.022065;0.025980;9.724463;;;;;;;;;;;;;0.000000;;;
00095;1219509;-0.084490;0.066687;9.755800;;;;;;;;;;;;;0.000000;;;
00096;1219534;-0.054501;0.041127;9.749105;;;;;;;;;;;;;0.000000;;;
00097;1219559;-0.039051;0.040632;9.772162;;;;;;;;;;;;;0.000000;;;
00098;1219584;-0.060226;0.016758;9.752902;;;;;;;;;;;;;0.000000;;;
00099;1219609;-0.017257;-0.008465;9.756303;;;;;;;;;;;;;0.000000;;;
00100;1219634;-0.051982;0.041424;9.765406;;;;;;;;;;;;;0.000000;;;
00101;1219659;-0.055442;0.002185;9.742622;;;;;;;;;;;;;0.000000;;;
00102;1219684;-0.054375;0.021120;9.749943;;;;;;;;;;;;;0.000000;;;
00103;1219709;-0.058634;0.050710;9.775325;;;;;;;;;;;;;0.000000;;;
00104;1219734;-0.045564;0.043586;9.779785;;;;;;;;;;;;;0.000000;;;
00105;1219759;-0.029282;0.002995;9.737354;;;;;;;;;;;;;0.000000;;;
00106;1219784;-0.037094;0.048474;9.760984;;;;;;;;;;;;;0.000000;;;
00107;1219809;-0.028027;0.035852;9.753071;;;;;;;;;;;;;0.000000;;;
00108;1219834;-0.051295;0.030557;9.776663;;;;;;;;;;;;;0.000000;;;
00109;1219859;-0.048712;0.037844;9.777008;;;;;;;;;;;;;0.000000;;;
00110;1219884;-0.070402;0.068110;9.730344;;;;;;;;;;;;;0.000000;;;
00111;1219909;-0.040307;0.058075;9.797762;;;;;;;;;;;;;0.000000;;;
00112;1219934;-0.051362;0.048885;9.781601;;;;;;;;;;;;;0.000000;;;
00113;1219959;-0.048593;0.049041;9.763835;;;;;;;;;;;;;0.000000;;;
00114;1219984;-0.021355;0.022817;9.803711;;;;;;;;;;;;;0.000000;;;
00115;1220009;-0.050737;0.066923;9.768789;;;;;;;;;;;;;0.000000;;;
00116;1220034;-0.052235;0.036262;9.773195;;;;;;;;;;;;;0.000000;;;
00117;1220059;-0.064054;0.083651;9.738234;;;;;;;;;;;;;0.000000;;;
00118;1220084;-0.069380;0.058944;9.752115;;;;;;;;;;;;;0.000000;;;
00119;1220109;-0.057407;0.039907;9.751999;;;;;;;;;;;;;0.000000;;;
00120;1220134;-0.064144;0.035700;9.769821;;;;;;;;;;;;;0.000000;;;
00121;1220159;-0.047291;0.048989;9.745129;;;;;;;;;;;;;0.000000;;;
00122;1220184;-0.013641;0.019801;9.749055;;;;;;;;;;;;;0.000000;;;
00123;1220209;-0.061367;0.021225;9.719226;;;;;;;;;;;;;0.000000;;;
00124;1220234;-0.065155;0.068195;9.752439;;;;;;;;;;;;;0.000000;;;
00125;1220259;-0.038640;0.049234;9.749458;;;;;;;;;;;;;0.000000;;;
00126;1220284;-0.078083;0.023483;9.733084;;;;;;;;;;;;;0.000000;;;
00127;1220309;-0.062761;0.046491;9.772037;;;;;;;;;;;;;0.000000;;;
00128;1220334;-0.046427;0.036158;9.762637;;;;;;;;;;;;;0.000000;;;
00129;1220359;-0.062231;0.031833;9.743038;;;;;;;;;;;;;0.000000;;;
00130;1220384;-0.066392;0.037218;9.767401;;;;;;;;;;;;;0.000000;;;
00131;1220409;-0.037201;0.021077;9.752371;;;;;;;;;;;;;0.000000;;;
00132;1220434;-0.065594;0.038090;9.770269;;;;;;;;;;;;;0.000000;;;
00133;1220459;-0.068739;0.048012;9.774405;;;;;;;;;;;;;0.000000;;;
00134;1220484;-0.052699;0.047097;9.787395;;;;;;;;;;;;;0.000000;;;
00135;1220509;-0.066158;0.067160;9.766359;;;;;;;;;;;;;0.000000;;;
00136;1220534;-0.041373;0.028224;9.757996;;;;;;;;;;;;;0.000000;;;
00137;1220559;-0.038952;0.017475;9.740437;;;;;;;;;;;;;0.000000;;;
00138;1220584;-0.010093;-0.002686;9.779239;;;;;;;;;;;;;0.000000;;;
00139;1220609;-0.065495;0.037764;9.749154;;;;;;;;;;;;;0.000000;;;
00140;1220634;-0.024010;0.012912;9.765500;;;;;;;;;;;;;0.000000;;;
00141;1220659;-0.074876;0.063255;9.789948;;;;;;;;;;;;;0.000000;;;
00142;1220684;-0.033695;0.037312;9.767426;;;;;;;;;;;;;0.000000;;;
00143;1220709;-0.025180;0.048049;9.793644;;;;;;;;;;;;;0.000000;;;
00144;1220734;-0.041364;0.024025;9.745586;;;;;;;;;;;;;0.000000;;;
00145;1220759;-0.049580;0.039948;9.751524;;;;;;;;;;;;;0.000000;;;
00146;1220784;-0.051112;0.064584;9.799067;;;;;;;;;;;;;0.000000;;;
00147;1220809;-0.037247;0.048572;9.752820;;;;;;;;;;;;;0.000000;;;
00148;1220834;-0.058292;0.060723;9.769853;;;;;;;;;;;;;0.000000;;;
00149;1220859;-0.031796;0.035380;9.760272;;;;;;;;;;;;;0.000000;;;
00150;1220884;-0.042850;0.025932;9.760444;;;;;;;;;;;;;0.000000;;;
00151;1220909;-0.070440;0.024479;9.770513;;;;;;;;;;;;;0.000000;;;
00152;1220934;-0.065031;0.045035;9.775896;;;;;;;;;;;;;0.000000;;;
00153;1220959;-0.054071;0.023946;9.778218;;;;;;;;;;;;;0.000000;;;
00154;1220984;-0.081787;0.037673;9.731863;;;;;;;;;;;;;0.000000;;;
00155;1221009;-0.052056;0.022208;9.742730;;;;;;;;;;;;;0.000000;;;
00156;1221034;-0.068805;0.030445;9.752644;;;;;;;;;;;;;0.000000;;;
00157;1221059;-0.049266;0.033286;9.762692;;;;;;;;;;;;;0.000000;;;
00158;1221084;-0.054252;0.023096;9.750873;;;;;;;;;;;;;0.000000;;;
00159;1221109;-0.043227;0.001919;9.748400;;;;;;;;;;;;;0.000000;;;
00160;1221134;-0.068248;0.006095;9.768447;;;;;;;;;;;;;0.000000;;;
00161;1221159;-0.052443;0.042595;9.764439;;;;;;;;;;;;;0.000000;;;
00162;1221184;-0.058006;0.064748;9.772648;;;;;;;;;;;;;0.000000;;;
00163;1221209;-0.065137;0.017105;9.766333;;;;;;;;;;;;;0.000000;;;
00164;1221234;-0.027795;0.032098;9.762262;;;;;;;;;;;;;0.000000;;;
00165;1221259;-0.044134;0.021568;9.770118;;;;;;;;;;;;;0.000000;;;
00166;1221284;-0.038979;0.016735;9.753900;;;;;;;;;;;;;0.000000;;;
00167;1221309;-0.038295;0.081996;9.835235;;;;;;;;;;;;;0.000000;;;
00168;1221334;-0.046620;0.037797;9.763575;;;;;;;;;;;;;0.000000;;;
00169;1221359;-0.036457;0.032354;9.766557;;;;;;;;;;;;;0.000000;;;
00170;1221384;-0.039674;0.037657;9.746792;;;;;;;;;;;;;0.000000;;;
00171;1221409;-0.038684;0.034911;9.752604;;;;;;;;;;;;;0.000000;;;
00172;1221434;-0.038472;0.048186;9.745634;;;;;;;;;;;;;0.000000;;;
00173;1221459;-0.006007;0.038286;9.789515;;;;;;;;;;;;;0.000000;;;
00174;1221484;-0.019347;0.020207;9.757684;;;;;;;;;;;;;0.000000;;;
00175;1221509;-0.029345;0.039599;9.762591;;;;;;;;;;;;;0.000000;;;
00176;1221534;-0.053245;0.044784;9.797040;;;;;;;;;;;;;0.000000;;;
